Name,Job title,Job department,Job location,Headline,Creation time,Stage,Tags,Source,Type,Summary,Keywords,Educations,Experiences,Skills,Disqualified,Disqualified at,Disqualification category,Disqualification reason,Disqualification note,Question 1,Answer 1,Question 2,Answer 2,Question 3,Answer 3,Question 4,Answer 4,Question 5,Answer 5,Question 6,Answer 6,Question 7,Answer 7
Candidate 1,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:15:57,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|postgresql|Golang|React,Graduate Degree Artificial Intelligence at Pontifical Catholic University of Paraná (Jan 2019 to Dec 2021)  |   at Apple Developers Academy (Jan 2013 to Dec 2014)  |  Digital Games and Development at Pontifical Catholic University of Paraná (Jan 2013 to Dec 2018),Senior Ruby at  (Jan 2024 to N/A)  | Senior Ruby at  (Jan 2021 to N/A)  | Engineering Manager at Delivery Center (Jan 2020 to Dec 2022)  | Lead Engineer at  (Jan 2019 to Dec 2020)  | Senior Software Engineer at  (Jan 2018 to Dec 2019)  | Engineering Manager at  (Jan 2017 to Dec 2018)  | Software Engineer at Snowman Labs (Jan 2017 to Dec 2017)  | Software Engineer at Esfera Tecnologia da Informação (Jan 2016 to Dec 2017)  | Software Engineer at Soluções VendaMais (Jan 2016 to Dec 2018)  | Information Technology Teacher at Pontifícia Universidade Católica do Paraná (Jan 2014 to Dec 2018)  | Video Editor at FACULDADE SÃO BRAZ (Jan 2012 to Dec 2014),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 2,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:04:55,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|Golang|React,"Análise E Desenvolvimento De Sistemas, Tecnologia Da Informação at Federal University of Technology – Paraná (N/A to Jan 2015)",Full Stack Engineer at Tradener (Aug 2023 to Jan 2024)  | Senior Software Engineer at ArcTouch - Mobile & Connected Experiences (Feb 2021 to May 2023)  | Senior Software Engineer at CWS (Feb 2020 to Feb 2021)  | Full Stack Developer at Mercafácil (May 2019 to Aug 2019)  | Full Stack Developer at CINQ Technologies (Dec 2018 to May 2019)  | Rails Engineer at KARZEN Technologies (Oct 2018 to Dec 2018)  | Software Developer at ∞ eits (Aug 2016 to Feb 2017)  | Software Development Intern at ITAI - Instituto de Tecnologia Aplicada e Inovação (Aug 2013 to Mar 2014),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 3,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:04:55,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|postgresql,"at Nagaoka University of Technology (Jan 2019 to Jan 2019)  |  Ingeniería Informática, Gestión De Proyectos De Tecnología De La Información at Universidad Pública de Navarra (Jan 2017 to Jan 2018)  |  Computer Systems and Artificial Intelligence at Universidad de Guanajuato (Jan 2013 to Jan 2018)",Software Developer at Apptegy (Feb 2021 to Jan 2024)  | Software Developer at Thincode (Mar 2019 to Feb 2021),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 4,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:04:54,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|Golang,Cloud Computing at Pontifical Catholic University of Minas Gerais (Jan 2021 to Jan 2022)  | Bachelor of Technology Systems Development at São Paulo State Technological College (Jan 2013 to Jan 2015),Senior Software Engineer at Hubstaff (Jul 2024 to N/A)  | Senior Software Engineer at Mercado Livre (Apr 2022 to Jul 2024)  | Senior Software Engineer at enjoei (May 2021 to Apr 2022)  | Senior Ruby and Rails Engineer at PagSeguro PagBank (Aug 2019 to May 2021)  | Software Engineer at Locaweb (Jul 2018 to Aug 2019)  | Software Engineer at Daitan Group (May 2017 to Jul 2018)  | Rails Developer at Gympass (Nov 2016 to May 2017)  | Ruby Developer at Caiena (Jun 2015 to May 2016),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 5,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:04:54,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|postgresql,"Ingeniería, Ingeniería Informática at Metropolitan University of Technology (Jan 2011 to Jan 2017)",Backend Developer at Papa John's Chile (Nov 2020 to Jun 2021)  | Backend Developer at Mercat (Nov 2020 to N/A)  | Rails Developer at Human Search (Jun 2020 to Nov 2020)  | Rails Developer at 4Talent (Mar 2019 to May 2019)  | Rails Developer at FELITECH Consulting (Nov 2017 to Feb 2019),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 6,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 16:04:54,Sourced,,Uploaded,UploadedCandidate,,ruby|ruby on rails|postgresql|React,"Bachelor of Science Ingeniería Informática at University of Holguín (Jan 2009 to Jan 2014)  | Certificate (Advanced Level) Examination ,Sri Lanka Year 2007, Mathematica at Galahitiyawa Central College (Jan 1996 to Jan 2005)",Senior Developer at FollowUP Customer Experience (Aug 2019 to N/A)  | Senior Developer at PlagLabs (Jan 2019 to Jul 2019)  | Developer at WebCarga (Aug 2015 to Jan 2019),,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),,,,Describe your experience with either Golang or Rust.,,,,Do you have an experience in a startup environment? Tell us about your experience.,,Are you located in Latin America?,
Candidate 7,Lead Generator,Engineering,Colombia,,2024-08-19 11:30:28,Sourcer Screening,,linkedin.com free,ManualCandidate,,,Bachelor of Arts Sport and Social at University of Bath (N/A to Dec 2014),Business Development Representative at Smith.ai (May 2023 to N/A)  | Advisorist at  (Oct 2022 to Mar 2023)  | Inside Sales Executive at Dental Departures (Worldwide) (Sep 2021 to Mar 2022)  | Property Manager Assistant at TrustHome Properties (Oct 2020 to N/A)  | Customer Service Representative at TUI (Jul 2018 to Jan 2021)  | Marketing Executive at Paris Smith (Jan 2016 to Dec 2017)  | Personal Assistant at Orangetheory Fitness (Jan 2015 to Dec 2015),Administration,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",TRUE,Please describe your experience as lead generator or sales development representative.,I worked as a Personal Assistant for the CEO of Orangetheory Fitness handling both professional and personal tasks from business related rganization to personal trip planning.,"The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.","Yes I worked for 2 years as a Marketing Executive for a Law Firm in England during which time I planned and executed business events and seminars (from marketing on the website, sending out invites and on the day seminar preparations). I also planned many staff events and parties, and more notable helped with the planning and organization of a black tie dinner and dance for 400 Women in Business.",Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,"Asana, Click Up, Process Street",How many years of experience do you have as a Lead Generator?,TRUE,,
Candidate 8,Lead Generator,Engineering,Colombia,,2024-08-15 12:05:09,Sourcer Screening,applied,linkedin.com free,ManualCandidate,,,,Social Media Manager at Regional Subdustribution coordinato (Jan 2021 to Dec 2022)  | Community Manager Junior at Tiburonzzito (Jan 2019 to Dec 2019)  | Community Manager at SA Autocredit (Jan 2017 to Dec 2019)  | Sales Manager at Spaceland (Jan 2017 to Dec 2017)  | Business Development Executive at Infotech Global Solutions (N/A to N/A),,No,,,,,"From 1 to 10, how would you consider your LinkedIn Sales Navigator knowledge?",TRUE,Please describe your experience as lead generator or sales development representative.,"I used to be the personal assistant for the CEO on a company called Bython Inc. 
I used to manage every payment, travel and meetings he had along with company tasks HR related such as payroll and staff management","The max compensation for this role is USD 1200 per month + benefits, please confirm you are okay with this.",I used to coordinate company events in my previous job,Do you currently live in Latin America?,TRUE,How many years of experience do you have as a Lead Generator?,Monday.com,How many years of experience do you have as a Lead Generator?,TRUE,,
Candidate 9,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-20 0:39:22,Applied,,unknown,ManualCandidate,,,Master of Arts Irish Studies at University of Liverpool (Sep 2008 to Dec 2009)  | Bachelor of Arts History at University of Central Florida (Aug 2004 to Aug 2008),Senior Recruiter at Specialized Bicycle Components None (Apr 2022 to Jun 2024),,Yes,2024-08-20 0:39:23,Rejected candidate,Doesn't have required qualifications,Do you have 4+ years of professional experience as a Software Engineer? No | Do you have at least 3 years of experience with Ruby on Rails? (recent experience) No | Are you located in Latin America? No,Do you have 4+ years of professional experience as a Software Engineer?,FALSE,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),FALSE,,,Describe your experience with either Golang or Rust.,N/A,,,Do you have an experience in a startup environment? Tell us about your experience.,"Yes, I have experience in a startup environment.",Are you located in Latin America?,FALSE
Candidate 10,Senior DevOps Engineer - AWS,Engineering,Mexico,DevOps Engineer,2024-08-19 17:08:26,Applied,,startup.jobs,ManualCandidate,,,"Master of Science Information Systems at Northeastern University (Jan 2015 to Dec 2017)  | Bachelor of Engineering Computer Science and Engineering at University College of Engineering, Osmania University (Jan 2005 to Dec 2009)",Devops Engineer at Upstart Network (Jun 2022 to May 2024)  | Senior Engineer at Blue Cross Blue Shield of Massachusetts (Nov 2019 to Mar 2022)  | Internal Application Developer at Tracelink (Aug 2017 to Nov 2019)  | Advanced Consultant at OpenText Technologies (Mar 2014 to Aug 2014)  | Associate at Cognizant Technologies Solutions (Dec 2009 to Feb 2014),,Yes,2024-08-19 17:08:30,Rejected candidate,Doesn't have required qualifications,Do you currently live in Latin Amerca? No,Do you have 5+ of professional experience in DevOps?,TRUE,"Have you worked with Amazon Web Services (AWS) extensively, including services such as EC2, ECS, etc.?",TRUE,Describe your experience with incident response and performance monitoring in a DevOps environment. How have you contributed to ensuring high availability and reliability of systems?,yes,Do you currently live in Latin Amerca?,FALSE,,,,,,
Candidate 11,Sr Software Engineer (Obj-C & iOS exp),Engineering,Brazil,,2024-08-19 14:58:52,Applied,,Jobs by Workable,ManualCandidate,,Objective-C|AWS|Swift,H-Vtec Technical Consultant at São Paulo State University (Jan 2020 to Aug 2022),Developer at CRIA INCUBATOR (Jul 2023 to N/A)  | Developer at SANTANDER UNIVERSIDADE (Aug 2021 to Jun 2023)  | Professional Activities at Areal (Jan 2002 to N/A)  | Technical Consultant at Hvtec (N/A to N/A),,Yes,2024-08-19 14:58:53,Rejected candidate,Doesn't have required qualifications,Do you have 5+ years of professional experience as a fullstack developer? No,Do you have 5+ years of professional experience as a fullstack developer?,FALSE,"Describe your experience with Objective-C. And, when did you last use it?",I have experience migrating Objective-C code to Swift using SwiftUI,Are you familiar with Ruby on Rails? Please describe your experience,No,Have you worked in the orthodontal industry? Do you have experience with orthodental systems?,FALSE,Which databases have you worked with? List them,"Firebase, CoreData, SQL lite, postgresql",Are you currently living in Latin America?,TRUE,,
Candidate 12,Ruby + (Golang/Rust) Engineer,Engineering,Chile,,2024-08-19 14:40:16,Applied,,linkedin.com free,ManualCandidate,,ruby|ruby on rails|postgresql|React,Systems Engineering at Tecnológico de Estudios Superiores de Ecatepec (Feb 2009 to Aug 2009),Software Engineer at Cantera Digital (Mar 2024 to N/A)  | Software Engineer at Arkusnexus (Jan 2023 to Mar 2023)  | Software Engineer at Homie (Jan 2021 to Dec 2021)  | Software Engineer at InstaFit (Jan 2019 to Feb 2019),Software Development|Ruby|PostgreSQL|Ruby on Rails|Front-End Development|React.js,No,,,,,Do you have 4+ years of professional experience as a Software Engineer?,TRUE,Do you have at least 3 years of experience with Ruby on Rails? (recent experience),TRUE,,,Describe your experience with either Golang or Rust.,"I don’t have direct experience with Golang or Rust. While I have extensive experience with Ruby on Rails, I haven’t had the opportunity to work with these technologies in depth. However, I am open to learning and adapting to new languages and tools as needed for the project.",,,Do you have an experience in a startup environment? Tell us about your experience.,"es, I have worked in various startup environments across different industries, including fitness, fintech, and proptech. In these roles, I have gained valuable experience in adapting to dynamic and fast-paced settings, collaborating with cross-functional teams, and navigating the challenges of rapidly evolving projects. My background in these diverse fields has equipped me with a versatile skill set and a strong ability to thrive in startup environments.",Are you located in Latin America?,TRUE
